City,State,All Beds,Occupied Beds,LONGITUDE,LATITUDE
NILES,IL,99,61,-87.792973,42.012012
DUNKIRK,IN,46,43,-85.197651,40.392722
MARION,IL,131,84,-88.982944,37.750143
LONG GROVE,IL,195,131,-87.986442,42.160843
CHICAGO,IL,180,116,-87.726353,41.975505
BOONVILLE,IN,56,47,-87.269655,38.058503
INDIANAPOLIS,IN,110,66,-86.193469,39.904128
GOSHEN,IN,153,155,-85.817798,41.561063
MARTINSVILLE,IN,103,44,-86.432593,39.407438
JASPER,IN,65,37,-86.936473,38.393736
CAIRO,IL,83,53,-89.178966,37.002806
CONNERSVILLE,IN,166,68,-85.12377,39.639037
MORRIS,IL,146,98,-88.44765,41.367484
MOORESVILLE,IN,98,61,-86.381582,39.611876
BURBANK,IL,56,49,-87.763826,41.748753
GENESEO,IL,106,90,-90.16506,41.363867
NEW CASTLE,IN,117,62,-85.365021,39.941559
BLUFFTON,IN,,26,-85.19359,40.777324
LEBANON,IN,106,66,-86.460087,40.056879
MOUNT PULASKI,IL,90,63,-89.282268,40.021164
GAS CITY,IN,75,46,-85.604784,40.495148
FORSYTH,IL,64,55,-88.963774,39.921646
PINCKNEYVILLE,IL,60,44,-89.390771,38.072421
WILMETTE,IL,60,49,-87.705245,42.072903
GREENSBURG,IN,64,39,-85.496445,39.344599
SKOKIE,IL,149,120,-87.751757,42.044763
BUTLER,IN,101,80,-84.878247,41.432595
NEW ALBANY,IN,104,73,-85.821817,38.287688
NORTH AURORA,IL,129,98,-88.312443,41.815568
ANNA,IL,,,-89.245021,37.465383
ENFIELD,IL,47,20,-88.336849,38.102388
NORTHBROOK,IL,147,75,-87.879275,42.152881
SOUTH BEND,IN,153,111,-86.267748,41.730984
RICHMOND,IN,96,52,-84.886313,39.846906
FRANKFORT,IN,96,81,-86.511531,40.294507
ELMHURST,IL,37,31,-87.938618,41.86209
HIGHLAND PARK,IL,215,110,-87.834407,42.202671
EVANSVILLE,IN,67,55,-87.574945,37.985518
WEST LAFAYETTE,IN,331,136,-86.885096,40.471635
SELLERSBURG,IN,57,47,-85.763934,38.405328
CLARKSVILLE,IN,115,84,-85.784553,38.327205
JERSEYVILLE,IL,98,45,-90.32833,39.112415
YORKTOWN,IN,77,50,-85.480764,40.175349
HUNTINGBURG,IN,95,42,-86.959603,38.312308
JACKSONVILLE,IL,113,79,-90.233924,39.747165
SHERIDAN,IN,80,77,-86.225434,40.131148
PLYMOUTH,IN,135,66,-86.315168,41.331038
FOWLER,IN,64,47,-87.316481,40.622005
ALHAMBRA,IL,81,39,-89.729439,38.888299
PROPHETSTOWN,IL,70,39,-89.939348,41.678111
ANDERSON,IN,109,75,-85.68329,40.086935
ROSELLE,IL,82,55,-88.081628,41.983439
LEMONT,IL,173,100,-87.970911,41.663003
SOUTH CHICAGO HEIGHT,IL,112,85,-87.640575,41.4915
BRIGHTON,IL,72,43,-90.141195,39.043557
OAK PARK,IL,72,54,-87.79902,41.90894
PEORIA,IL,116,96,-89.643629,40.731764
MACOMB,IL,62,42,-90.67644,40.447738
PROSPECT HEIGHTS,IL,30,21,-87.918983,42.087858
SPRINGFIELD,IL,75,45,-89.712368,39.786753
MADISON,IN,138,69,-85.407453,38.764628
CANTON,IL,115,74,-90.033527,40.55424
BRIDGEVIEW,IL,404,371,-87.799224,41.735931
WOODSTOCK,IL,130,67,-88.443149,42.323875
CLINTON,IL,134,84,-88.973518,40.144751
INVERNESS,IL,140,107,-88.078009,42.082937
PERU,IN,130,69,-86.087531,40.758018
BERNE,IN,60,,-84.961982,40.648407
LAWRENCEBURG,IN,75,47,-84.883661,39.116499
EDWARDSVILLE,IL,105,85,-89.970763,38.796573
BRAZIL,IN,105,60,-87.108203,39.521232
RISING SUN,IN,58,43,-84.861849,38.943005
BLOOMINGTON,IN,153,108,-86.529807,39.126665
WHITING,IN,80,48,-87.504093,41.687993
CHESTERTON,IN,100,66,-87.049669,41.595877
RIDGWAY,IL,71,39,-88.269689,37.79377
ELWOOD,IN,91,57,-85.832559,40.286925
FRANKLIN,IN,36,30,-86.062635,39.491658
STREATOR,IL,102,45,-88.843063,41.140037
DANVILLE,IN,110,109,-86.499629,39.763723
DES PLAINES,IL,68,54,-87.889623,42.058927
HARTFORD CITY,IN,65,41,-85.389109,40.442431
SCOTTSBURG,IN,85,54,-85.787005,38.70198
ELKHART,IN,97,82,-85.988504,41.677455
WASHINGTON,IN,62,49,-87.147707,38.653994
ROUND LAKE BEACH,IL,138,119,-88.08609,42.380225
KENDALLVILLE,IN,,16,-85.264893,41.427192
ORLAND PARK,IL,46,37,-87.873796,41.557067
MUNCIE,IN,68,44,-85.442732,40.226829
DILLSBORO,IN,123,75,-85.056649,39.018794